YEAR,GDP
2001,257926881.7
1998,258440740.7
1999,258833766.6
1968,259590076.3
1966,260400208.5
1964,260750008
1967,261024300
1962,261184037.4
2005,262176133.7
1998,262301252.8
2002,262603781.8
2008,262868600
1969,263108834.5
1993,263568114.4
1988,264308140.3
1974,264311994.1
1971,264579879.8
1972,265009395.1
1969,265040036.1
1969,265800106.4
1992,266191040.4
1978,266559337.6
1964,266666666.7
1988,266673126.2
1989,267327629.6
1989,267448513.1
1969,267732446.4
1999,267740740.7
1970,267800000
1999,267999225.3
1997,268551010.9
1985,268626912.5
2000,269019710.3
1998,269481523.2
1973,269500000
1967,269812781.8
1964,269818988.3
1996,270419779.4
1971,270650000
1994,270801565.2
1972,270818555.8
1973,271183061.4
1967,271543680.3
2000,272014693.1
1976,272493879
1976,272539098.4
2001,273088357.2
1970,274960699.9
1967,275494520.1
1989,275949889.1
1963,275968039.5
1987,276550000
1968,276820700
1994,277567259.3
1992,277954111.1
1990,278098777.8
2009,279966700
1974,281398668.2
1971,282050000
1977,282269373
1988,283828769
1988,283855833.3
1989,284119692.5
1992,284853358.6
1962,284916516.2
1972,285380952.4
1997,285475591.9
1993,286307814.8
1971,286537525
1972,287600000
2002,288078881.4
1975,288302907.4
1994,289438481.5
1986,289689703.7
1965,289908720.6
1979,290142517.8
1986,290440148.1
1970,290520116.3
1973,290746157.1
1970,293073868
2006,294137737.1
1968,294468564.5
1972,295118249.3
1997,295900000
2010,296525300
1971,296613496.9
2015,297645400
1995,299699666.7
1990,299787275.8
2007,300143056.9
1965,300392156.9
1991,300757888.9
1971,301010587.1
1970,301791301.8
1990,302515026.9
1966,302925280.8
2013,302925489.7
1995,303053462.8
1977,303496276.3
1977,304047838.1
1973,304339839.6
1989,304832867.4
1973,305300000
1964,305312043.7
1974,306033848.4
1967,306222000.4
1990,306891107.3
1969,306961800
1973,307047619
1972,307100000
1978,308008897.6
1974,308458423.2
1993,309812185.2
1992,310160444.4
2016,310248300
2011,310502100
1988,310684273.7
1974,312600000
1960,313582727.6
2003,314463144
1988,314900000
2015,315179700
2015,315880811.1
1995,316008481.5
2013,316040600
1996,316420860.9
1972,316650509
1990,317083373.5
2003,317562269.4
2014,317999400
1969,318124701
2009,318166562.8
1996,318742963
1986,318862888.4
1991,319827058.6
1987,319999000
1991,320355090.6
1960,322009471.6
1971,322128019.3
1993,322326642.3
1970,323099700
1970,323802475.5
1994,325111814.8
1972,325843254.7
2012,326128700
1968,326323097.4
1971,327651488
1961,327834680.6
1983,327861832.9
1968,329860091.9
2016,329895600
1984,330070689.3
1960,330442817.2
1969,330748211.5
1996,331489703.7
1989,332286760.9
2003,332738245.9
1984,333158476.2
1970,333627758.2
1973,333731874.4
1961,333975336.6
1971,335072975.2
1960,335650000
1972,335677636.9
2000,335845814.8
1991,336708419.5
1987,337174851.9
2002,337695740.7
2003,338838639.4
1969,339913833.1
1966,340000000
1963,340061650.1
1978,340616375.3
1985,340989528
1971,341543100
2002,341661643.6
1995,342172518.5
1962,342721579.8
2016,342781715.5
2001,343119370.4
1968,343771964.7
1965,344159480.3
1975,345000000
1974,345263492.1
1973,345602025.4
1985,346737964.8
1997,347770000
1991,348000000
1963,348546952.1
1982,348746822.6
1967,348795303
2014,348899846.1
2008,349484427.6
2003,350091222.2
1961,350247237.1
2000,350391812.5
1973,351600000
1987,354591846.9
1975,355172413.8
1994,355884383.1
1978,355989047.3
1961,356200000
1992,357160985.3
1997,357237682.1
1962,357635713.9
1970,358815681.9
1965,359379856.2
1998,359600000
1970,359772363.3
1985,361014890.5
1989,363150000
1998,364975456.9
2004,364996869.1
1971,365389567.2
1997,365964500.1
1988,366541074.1
1972,366857738.4
1996,366911444.4
1972,368098000
2004,368143118.7
1992,368281378.9
1990,368584758.9
1974,368600000
2010,369485198.8
2000,370173851.9
2005,370370370.4
1998,370687618.7
1963,371767002.7
1964,371848114.8
1976,372010119.6
1987,373371738.3
1998,373619851.9
1991,374359556.1
2004,374771481.5
2004,375111894.9
1966,375479849.8
1982,375895956.4
1974,376094108.5
1998,376955087.3
1975,378660016.3
1992,378778047.2
1984,379371608.4
1962,379567178.3
1989,379779389.7
2005,380372892.6
1971,381687073.1
1990,384400000
1976,386300000
1983,386699308.9
1973,386968300
1971,387700084.2
1962,387750000
1990,388300000
1981,388958731.3
1999,389984428.9
1967,390196078.4
2006,390370370.4
1999,390719148.1
1966,390973233.3
1997,392190592.6
1964,392247517.6
2001,392278168.2
1963,394040749.1
2005,394962552.3
1974,395400000
1988,395794538.6
2000,396270000
1990,396582263.3
1988,398637740.7
1995,398988955
1975,399800000
1965,400129691.3
2001,400463452.1
2016,401562006.2
1982,402405069.4
1972,402460333.2
1987,402774852.7
1992,404600000
1972,406084197.4
2006,406111873.5
1973,406479906.2
1994,406580652.3
1969,408690163.5
1989,409220087.1
1963,410200000
1964,410321785.6
1972,410331901
1972,410669262.9
1993,410923236.2
1979,411578334.2
1979,412093133.8
1985,412876071.1
1990,413050000
1971,413634335.3
1988,413799990
2005,413909879.3
1969,414709311.4
1974,414772351.9
1989,415518111.1
2002,415843482
2003,416000000
1983,416183706.9
1965,416926303
1999,419035810.5
1971,419549425.1
2004,420320176.4
2000,420515107.7
1979,420642463.4
1975,420986666.7
2007,421375851.9
1966,421700442.1
1965,422916848.4
2002,422917862.1
1960,423008385.7
2011,423011844.3
1973,425963359.4
1993,428794117.6
2001,429570502.6
2001,430040370.4
1971,430096738.4
1972,430508357.7
2003,430520879.8
1973,431254103
1980,431561376.5
1966,432794922.5
1973,433092003.6
1992,433667193.8
1966,433889831.6
1974,433954545.5
1981,434188034.2
1964,434267936.9
1970,434410373.8
2000,435103853.5
2015,435438217.3
1981,435746974.8
1978,436918176.7
1984,437631605.3
1989,438794777.8
2000,439158233.2
2006,439376794.1
1976,440000000
2006,440024652
1961,441524109
1967,441706910.1
1999,441800000
1993,442273433.2
1997,442337849.5
2004,442875783.7
2014,443911052.3
1973,444302221.3
1991,444720750
1968,444901960.8
1998,445903592.6
1980,446416105.8
1977,447000000
1991,448300000
1976,448412753.6
1962,449012578.6
1986,449146608.3
1960,449526872.6
1967,449826323
1977,449880000
1996,450382328
2013,450686353.7
1967,450753993.2
1976,451152450
1967,451524124.6
1977,451603325.4
1990,452328087.3
1985,453488372.1
1968,453980096.7
1976,454440000
2006,456705434
1964,457000000
2008,458190185.2
1970,458404330.1
1990,459469074.1
1968,460442864.2
2001,461078078.1
1977,461800000
2002,461883444.4
1991,462421998.5
2007,462453582.9
2005,462649043
1994,464756638.5
1975,465000000
1972,465381090
2003,465850739.6
1993,466048469.2
2005,466635214.1
1993,467872714.8
1970,469266736.6
1988,470389179.7
1998,471177008.1
1969,471635620.9
2012,472358251.2
1993,473916819.5
1968,474399471.6
1975,474620439.6
2004,474700000
1978,475800000
1975,475916514.7
1980,476055288.4
2001,476360697.2
2003,476388260.6
1968,477012512.7
1992,477101651.6
1992,478058304.9
1969,478298781.5
1962,479180824.3
1991,481706333.3
2003,481806296.3
1982,482000000
1986,482000594
1999,482009370.4
1999,482214092.3
1971,482411279
1973,483033932.1
2002,483120194.3
1990,483962444.4
1968,485160824.3
1961,485785231.7
2012,485997988.1
1994,486451204.6
1972,486617332.4
1974,486955000
2003,487038821.6
1995,487148993.5
2009,489074333.3
1983,489333333.3
1975,489914760.7
1986,490181456.6
1961,490325181.6
1993,490417389.7
1997,490608657.9
1994,491689220.7
2010,493824407.4
1996,494004647.7
1984,494475699.9
1975,494791666.7
1989,495404888.1
2006,496000000
1964,496098775.3
1963,496947904.4
1995,497723960.6
1992,499281148.1
2011,501025303.3
1971,501866730.7
1996,501979069.3
2013,501979277
2004,502561629.6
1984,502617355.4
1997,502675542
2005,503000000
1996,503068472.2
1979,503180670
1973,504376035.7
1986,504651139.5
1976,505500000
1972,505549441.4
1972,505892512.9
1978,507080000
1977,507298120.7
1960,507513830
1995,508221508.2
1997,508223602.4
1960,508334414
2006,508503671.3
1965,508650000
1972,510259940.7
1981,511658690.6
1963,511902136.8
2004,512000000
1969,512728946
1978,512900000
1991,513753814.8
2002,514000000
1998,514267869.3
2007,516074229
1963,516147798.7
1979,517200000
1992,518239100
1995,519334096.7
2007,520000000
2000,520044370.4
2001,520444185.2
2001,521000000
1998,521910560.5
2004,521975111.1
1982,522090331.5
2008,523134897
1973,523552815.1
2014,523666347.4
1965,523694949.4
1983,524034109.9
2009,524157261
1976,524407931.9
2007,526428309.9
2003,527000000
1976,527936988.8
1969,528137254.9
2000,529064600
1985,529078995.6
1979,530440000
2010,530493353.2
1970,531004659.1
2004,531109356.2
2007,531260864.9
1994,531688311.7
1962,531736599.9
1961,531959561.6
1980,534701915.6
2015,535095846.3
1993,535172777.8
1960,535670127.7
1999,536080148.1
2002,537050133.7
1960,537147100
1982,537575980.8
1960,537777811.1
1970,538423153.7
1974,538747268.3
2000,539227277.6
1998,540096397.6
2002,540336925.9
1977,540635389.6
1994,540874934.2
1973,541973362.5
1980,542000513.6
1973,542294864.8
1989,542520000
1964,542578367.2
2002,543000000
2005,543167666.7
1978,544424605.1
1960,546203561.6
1962,546666677.8
1977,547535555.6
1974,548618789.9
1970,548758098.4
1961,548888895.6
1966,549950000
2005,550000000
2005,550728666.7
2007,550970655.5
2000,551230861.9
1969,551237316.6
1974,554654787
1983,555336145.8
1974,555337985.7
1974,558589870.9
1993,559858250
1974,560437742.6
2009,560959527.8
1968,561187342.5
1997,562958836.5
2008,563000000
2001,563024383.3
1960,563110051.9
1973,563683660.3
1974,563939670.7
1996,565163750.6
2015,565689764.6
1992,566894740.7
1997,567919502.8
1981,570357107.1
2012,570865941.2
1981,571542674.6
1975,571863295.7
2001,572417440.8
1971,573400000
2011,574000000
1962,574091101.2
1993,574870407.4
1973,575230234.4
2010,576000000
1976,576090073.7
1995,577280740.7
1975,577549300
1995,578015625
2002,578236035.1
1972,578595584
2004,578785279.4
1994,580863700
2016,581484031.9
1964,582816396.2
1987,584135559.9
1961,584961208.7
1974,585364635.4
1972,585427545.7
2011,586281766.8
1963,586294879.5
2005,586791883.7
1974,588443893.7
1964,589056603.8
1999,589239753.6
1994,589429592.6
1978,590376720.6
1972,590900000
2003,591018407.4
2002,591122039.6
2006,591829908.4
1999,592416703.1
1965,592981162.3
1976,594895672.3
1975,596200000
1990,596415104.5
1976,596675700
2009,597765363.1
1967,598100000
1988,598961269.3
1961,599026300
2004,599118592.6
1965,599831979.8
1994,600005555.6
1986,603015696.5
1980,603200000
2006,604028900
1994,605492537.3
1979,606700032
2008,607958616.1
2008,608293860.3
1998,608369282.2
1971,609047284.9
2009,610066628.7
1978,610225555.6
1978,610578523.8
2006,610930037
1987,611316399.4
1961,612518906.8
1975,613196872.6
1980,613299968
2000,614879764.8
2016,616654490.4
1975,617321669.4
1961,618245639.2
2013,618663921.9
1960,618740988
1962,619319197.3
1976,619375134.2
1995,620140400
2002,620974660.2
1999,621117885.7
1967,621225962.2
1995,621626785.9
2003,622026107.8
2003,622044665.5
2001,622262057.2
1999,622985493.7
2005,624174724.4
2000,624337145.3
1977,625573345.5
1969,625867984.4
1966,628893310.4
1967,631755810.7
1974,632400000
1996,633730629.6
2000,635874002.2
2006,636218037
1960,637142865.7
1974,637400199.1
1976,637754162.1
1984,637820620.7
1970,639596751.6
1995,640449518.5
2013,641000000
1977,641000000
1968,641214226.8
1996,641383800
1976,642100000
1961,642857134.3
2014,643000000
2010,643046733.4
2012,644000000
1979,644070364.9
2008,644132488.9
1962,645284344.7
1970,645537126.2
1968,646800000
1973,647199482.8
1966,647305630.2
2014,647720707.1
1974,648590642.9
1990,649644826.8
1970,649916621.2
2007,651833333.3
1962,652120900
1974,652532796.1
1961,654100200
1997,654314350
2006,655068695.8
1961,657597382.8
2016,658000000
1966,658078969.5
1983,658679394.9
2015,659000000
2008,659561789.4
1962,660000008.6
1996,662196185.2
1967,665586872.8
2004,666072101.8
1969,668000050
1999,669384768.9
1962,669722541.3
1976,670309253
1973,670900000
2010,671585343.2
1998,672375927.3
1960,672399700
1977,673010600
1960,673081724.1
1965,673383510.2
2007,674008481.5
1973,674773821.2
2009,674922481.5
1971,675722954.5
2011,676129407.4
1975,676870140.3
1997,676949592.6
2009,678000000
1963,678235373
1971,678241389
1975,679335901.1
1992,679997997.6
1997,680617111.1
2010,681225963
1985,683193885
1975,684268280.8
1997,686490090.1
2001,687408804.6
1999,688921325.7
1998,688992450
1991,690314321.4
1975,690319754.9
1977,691777758.4
1988,692016714.3
2012,692933740.7
1962,693142857.1
1996,693535954.2
1971,693573704.4
1995,693970588.2
1976,694552411.7
1999,694754988.3
1981,694803502.7
2005,695370296.3
2008,695428851.9
2007,695606288.6
2001,696281471.7
1961,696285714.3
1989,696915430.7
1972,697291727.8
2002,697518248.2
1976,698408244.4
2006,698700655.9
1969,698963875.7
1960,699050679
1961,699161943.9
1962,699373701.2
1967,699456618.9
1979,700764892.7
2010,700804286.2
1987,701307602.3
1966,702296079.9
2004,702682019
1973,702899156
1960,703925705.9
1961,704145671.4
1991,704329192.8
1960,704462302.4
2010,705015370.4
1996,705406001.4
2003,705704816
2000,706370815.6
1976,706991274.4
2005,708633194.7
1980,709041452.2
1992,709452583.9
1964,711893367.6
1975,711922994.2
2000,712667896.7
1977,713000000
1960,713000000
1989,714046821.1
1992,714255460.5
1978,717240400
1998,717530683.2
1971,717716130.5
1984,718148959.6
1970,718401157.7
1963,718714285.7
1977,719533137.1
1963,721142957.3
2013,721207148.1
1988,721425939.2
2002,722460886.4
1973,722780701.1
1963,722784500
1970,723000000
2009,723209111.1
1963,723624365.3
1966,723735635.5
1984,726937320.8
2014,727230734.8
1980,727800000
1998,727860592.6
1963,728571437.1
2002,729321366.7
1971,731000000
1976,732286143.3
1999,732732350
2011,733000000
2012,734462666.7
1977,734887974
1965,735267082.3
